Nome do objeto,Qntd de Objetos,Variações de fundo,variações de iluminação,Total de amostras
caneca1,12,"fundo3, fundo1, fundo2","noite, dia",12
caneca2,12,"fundo3, fundo1, fundo2","noite, dia",12
caneca3,12,"fundo3, fundo1, fundo2","noite, dia",12
oculos1,12,"fundo3, fundo1, fundo2","noite, dia",12
oculos2,12,"fundo3, fundo1, fundo2","noite, dia",12
oculos3,12,"fundo3, fundo1, fundo2","noite, dia",12
Relogio1,12,"fundo3, fundo1, fundo2","noite, dia",12
Relogio2,12,"fundo3, fundo1, fundo2","noite, dia",12
Relogio3,12,"fundo3, fundo1, fundo2","noite, dia",12
Tenis1,12,"fundo3, fundo1, fundo2","noite, dia",12
Tenis2,12,"fundo3, fundo1, fundo2","noite, dia",12
Tenis3,12,"fundo3, fundo1, fundo2","noite, dia",12
